category,focal_species,species_combo,competitor,replicate,ID,N_neighbors,notes,N_stems_with_flowers,N_flowers,N_clipped_stems,N_flrs_on_clipped_stems,Dry_weight,phylogenetic_dist
Alone,BF,BF,NA,1,BF-1,0,,7,115,0,0,0.753,
Alone,BF,BF,NA,2,BF-2,0,8 composite heads,8,64,0,0,0.943,
Alone,BF,BF,NA,3,BF-3,0,8 composite heads,,70,0,0,,
Intraspecific,BF,BF-BF,BF,1,BF-BF-1,2,9 seeds in 1 composite head,,9,0,0,0.08,
Intraspecific,BF,BF-BF,BF,2,BF-BF-2,3,2 composite flower heads,,12,0,0,0.082,
Intraspecific,BF,BF-BF,BF,3,BF-BF-3,2,2 composite flower heads,,16,0,0,0.11,
Interspecific,BF,BF-MGLO,MGLO,1,BF-MGLO-1,1,"some seeds may have dropped. MGLO competitor (1) never became reproductive, stayed very small",3,48,0,0,0.372,
Interspecific,BF,BF-MGLO,MGLO,2,BF-MGLO-2,1,,,,,,,
Interspecific,BF,BF-MGLO,MGLO,3,BF-MGLO-3,2,"3 competitor MGLO, 1 reproductive, some seeds may have dropped from one head",6,50,,,0.341,
Alone,CA,CA,NA,1,CA-1,0,"plant died, only buds",,6,,,0.682,
Alone,CA,CA,NA,2,CA-2,0,,,3,,,0.496,
Alone,CA,CA,NA,3,CA-3,0,,,4,,,0.633,
Intraspecific,CA,CA-CA,CA,1,CA-CA-1,5,,,1,,,0.147,
Intraspecific,CA,CA-CA,CA,2,CA-CA-2,5,only buds,,1,,,0.063,
Intraspecific,CA,CA-CA,CA,3,CA-CA-3,5,,,2,,,0.173,
Interspecific,CA,CA-CPUR,CPUR,1,CA-CPUR-1,5,,,0,,,0.174,
Interspecific,CA,CA-CPUR,CPUR,2,CA-CPUR-2,5,,,0,,,0.183,
Interspecific,CA,CA-CPUR,CPUR,3,CA-CPUR-3,5,"labelled in oven as ED_CPUR_1, but had a CLAAMO with two flowers inside, matched up to this plant as the only other CLAAMO on 8/23 that had two flowers (EC 8/29) (entered 306, changed to 0.306",,2,,,0.306,
Interspecific,CA,CA-ED,ED,1,CA-ED-1,5,,,1,,,0.031,
Interspecific,CA,CA-ED,ED,2,CA-ED-2,4,,,3,,,0.493,
Interspecific,CA,CA-ED,ED,3,CA-ED-3,4,,,1,,,0.224,
Interspecific,CA,CA-PN,PN,1,CA-PN-1,1,,,8,,,1.26,
Interspecific,CA,CA-PN,PN,2,CA-PN-2,2,,,6,,,0.727,
Interspecific,CA,CA-PN,PN,3,CA-PN-3,1,,,7,,,1.113,
Alone,CC,CC,NA,1,CC-1,0,,,91,,,0.897,
Alone,CC,CC,NA,2,CC-2,0,,,49,,,0.629,
Alone,CC,CC,NA,3,CC-3,0,,,113,,,0.951,
Intraspecific,CC,CC-CC,CC,1,CC-CC-1,3,,,71,,,0.39,
Intraspecific,CC,CC-CC,CC,2,CC-CC-2,4,,,31,,,0.267,
Intraspecific,CC,CC-CC,CC,3,CC-CC-3,5,,,17,,,0.125,
Interspecific,CC,CC-CPAR,CPAR,1,CC-CPAR-1,5,,,15,,,0.151,
Interspecific,CC,CC-CPAR,CPAR,2,CC-CPAR-2,5,,,13,,,0.202,
Interspecific,CC,CC-CPAR,CPAR,3,CC-CPAR-3,5,,,10,,,0.077,
Interspecific,CC,CC-MGRA,MGRA,1,CC-MGRA-1,4,,,,,,,
Interspecific,CC,CC-MGRA,MGRA,2,CC-MGRA-2,4,,,4,,,0.096,
Interspecific,CC,CC-MGRA,MGRA,3,CC-MGRA-3,2,,,2,,,0,
Interspecific,CC,CC-NI,NI,1,CC-NI-1,3,,,21,,,0.326,
Interspecific,CC,CC-NI,NI,2,CC-NI-2,2,,,1,,,0.045,
Interspecific,CC,CC-NI,NI,3,CC-NI-3,3,,,46,,,0.441,
Interspecific,CC,CC-PF,PF,1,CC-PF-1,5,,,52,,,0.475,
Interspecific,CC,CC-PF,PF,2,CC-PF-2,4,,,39,,,0.507,
Interspecific,CC,CC-PF,PF,3,CC-PF-3,4,,,17,,,0.156,
Interspecific,CC,CC-PN,PN,1,CC-PN-1,2,,,38,,,0.378,
Interspecific,CC,CC-PN,PN,2,CC-PN-2,2,,,98,,,0.863,
Interspecific,CC,CC-PN,PN,3,CC-PN-3,2,tiny tiny plant,1,5,0,,0.033,
Alone,CG,CG,NA,1,CG-1,0,,,0,,,0.62,
Alone,CG,CG,NA,2,CG-2,0,label unclear,,0,,,0.523,
Alone,CG,CG,NA,3,CG-3,0,,,0,,,0.975,
Interspecific,CG,CG- MGRA,MGRA,1,CG- MGRA-1,5,,,0,,,0.235,
Interspecific,CG,CG- MGRA,MGRA,2,CG- MGRA-2,2,,,0,,,0.2,
Interspecific,CG,CG- MGRA,MGRA,3,CG- MGRA-3,4,,,0,,,0.177,
Intraspecific,CG,CG-CG,CG,1,CG-CG-1,2,,,0,,,0.126,
Intraspecific,CG,CG-CG,CG,2,CG_CG_2A,,,,0,,,0.041,
Intraspecific,CG,CG-CG,CG,3,CG-CG-3,2,,,0,,,0.421,
Interspecific,CG,CG-CPAR,CPAR,1,CG-CPAR-1,5,,,0,,,0.378,
Interspecific,CG,CG-CPAR,CPAR,2,CG-CPAR-2,5,,,,,,,
Interspecific,CG,CG-CPAR,CPAR,3,CG-CPAR-3,5,"label was very light, might be wrong rep",,0,,,0.209,
Interspecific,CG,CG-GC,GC,1,CG-GC-1,4,,,0,,,0.08,
Interspecific,CG,CG-GC,GC,2,CG-GC-2,2,,,,,,,
Interspecific,CG,CG-GC,GC,3,CG-GC-3,5,,,0,,,,
Interspecific,CG,CG-NI,NI,1,CG-NI-1,2,,,0,,,0.668,
Interspecific,CG,CG-NI,NI,2,CG-NI-2,3,,,0,,,0.603,
Interspecific,CG,CG-NI,NI,3,CG-NI-3,2,,,0,,,0.36,
Interspecific,CG,CG-NS,NS,1,CG-NS-1,4,,,0,,,,
Interspecific,CG,CG-NS,NS,2,CG-NS-2,4,,,0,,,0.422,
Interspecific,CG,CG-NS,NS,3,CG-NS-3,2,,,0,,,0.308,
Alone,CPAR,CPAR,NA,1,CPAR-1,0,2 tiny CPAR neighbors,24,217,,,0.34,
Alone,CPAR,CPAR,NA,2,CPAR-2,0,,16,158,5,,0.475,
Alone,CPAR,CPAR,NA,3,CPAR-3,0,,36,359,,,0.935,
Interspecific,CPAR,CPAR-CC,CC,1,CPAR-CC-1,5,,20,130,,,0.267,
Interspecific,CPAR,CPAR-CC,CC,2,CPAR-CC-2,4,,,,,,,
Interspecific,CPAR,CPAR-CC,CC,3,CPAR-CC-3,4,,21,115,,,0.297,
Interspecific,CPAR,CPAR-CG,CG,1,CPAR-CG-1,3,,,,,,,
Interspecific,CPAR,CPAR-CG,CG,2,CPAR-CG-2,2,,23,246,,,0.417,
Interspecific,CPAR,CPAR-CG,CG,3,CPAR-CG-3,1,,,,,,,
Intraspecific,CPAR,CPAR-CPAR,CPAR,1,CPAR-CPAR-1,4,,13,81,,,0.132,
Intraspecific,CPAR,CPAR-CPAR,CPAR,2,CPAR-CPAR-2,3,,16,73,,,0.195,
Intraspecific,CPAR,CPAR-CPAR,CPAR,3,CPAR-CPAR-3,5,,4,16,,,0.034,
Interspecific,CPAR,CPAR-NS,NS,1,CPAR-NS-1,3,,24,248,,,0.432,
Interspecific,CPAR,CPAR-NS,NS,2,CPAR-NS-2,3,,11,168,17,35,0.795,
Interspecific,CPAR,CPAR-NS,NS,3,CPAR-NS-3,2,,,,,,,
Alone,CPUR,CPUR,NA,1,CPUR-1,0,,,6,,,0.88,
Alone,CPUR,CPUR,NA,2,CPUR-2,0,,,4,,,1.515,
Alone,CPUR,CPUR,NA,3,CPUR-3,0,,,15,,,2.15,
Interspecific,CPUR,CPUR-CA,CA,1,CPUR-CA-1,2,,,35,,,1.171,
Interspecific,CPUR,CPUR-CA,CA,2,CPUR-CA-2,4,,,0,,,0.173,
Interspecific,CPUR,CPUR-CA,CA,3,CPUR-CA-3,3,,,25,,,0.927,
Intraspecific,CPUR,CPUR-CPUR,CPUR,1,CPUR-CPUR-1,5,,,1,,,0.046,
Intraspecific,CPUR,CPUR-CPUR,CPUR,2,CPUR-CPUR-2,5,,,0,,,0.194,
Intraspecific,CPUR,CPUR-CPUR,CPUR,3,CPUR-CPUR-3,5,,,4,,,0.568,
Interspecific,CPUR,CPUR-ED,ED,1,CPUR-ED-1,5,,,0,,,0.234,
Interspecific,CPUR,CPUR-ED,ED,2,CPUR-ED-2,4,"2 FR, 1 B",,3,,,0.307,
Interspecific,CPUR,CPUR-ED,ED,3,CPUR-ED-3,5,,,5,,,1.181,
Interspecific,CPUR,CPUR-GC,GC,1,CPUR-GC-1,2,,,5,,,0.804,
Interspecific,CPUR,CPUR-GC,GC,2,CPUR-GC-2,5,,,2,,,0.137,
Interspecific,CPUR,CPUR-GC,GC,3,CPUR-GC-3,2,,,6,,,0.137,
Interspecific,CPUR,CPUR-NI,NI,1,CPUR-NI-1,2,,,14,,,1.689,
Interspecific,CPUR,CPUR-NI,NI,2,CPUR-NI-2,3,,,14,,,1.575,
Interspecific,CPUR,CPUR-NI,NI,3,CPUR-NI-3,3,,,3,,,0.657,
Interspecific,CPUR,CPUR-NS,NS,1,CPUR-NS-1,3,,,20,,,1.431,
Interspecific,CPUR,CPUR-NS,NS,2,CPUR-NS-2,3,,,0,,,0.704,
Interspecific,CPUR,CPUR-NS,NS,3,CPUR-NS-3,3,,,9,,,1.042,
Interspecific,CPUR,CPUR-PF,PF,1,CPUR-PF-1,3,,,27,,,1.042,
Interspecific,CPUR,CPUR-PF,PF,2,CPUR-PF-2,4,,,3,,,1.391,
Interspecific,CPUR,CPUR-PF,PF,3,CPUR-PF-3,2,,,25,,,1.788,
Alone,ED,ED,NA,1,ED-1,0,,,47,,,1.933,
Alone,ED,ED,NA,2,ED-2,0,,,38,,,1.344,
Alone,ED,ED,NA,3,ED-3,0,,,61,,,1.429,
Interspecific,ED,ED-CA,CA,1,ED-CA-1,5,plus one ED neighbor,,6,,,0.078,
Interspecific,ED,ED-CA,CA,2,ED-CA-2,5,,,15,,,0.221,
Interspecific,ED,ED-CA,CA,3,ED-CA-3,5,,,13,,,0.248,
Interspecific,ED,ED-CPUR,CPUR,1,ED-CPUR-1,5,"this seems correct, from 8/18",,4,,,0.067,
Interspecific,ED,ED-CPUR,CPUR,2,ED-CPUR-2,5,,,,,,,
Interspecific,ED,ED-CPUR,CPUR,3,ED-CPUR-3,4,,,2,,,0.037,
Intraspecific,ED,ED-ED,ED,1,ED-ED-1,5,,,12,,,0.196,
Intraspecific,ED,ED-ED,ED,2,ED-ED-2,4,,,15,,,0.3,
Intraspecific,ED,ED-ED,ED,3,ED-ED-3,3,,,37,,,0.804,
Alone,GC,GC,NA,1,GC_1A,0,"two were labelled GC_1, so made new A and B since we dont know which flowers go to GC_1",,,,,0.842,
Alone,GC,GC,NA,2,GC-2,0,2 plants,,114,,,0.546,
Alone,GC,GC,NA,3,GC-3,0,,,355,,,1.038,
Interspecific,GC,GC-CG,CG,1,GC-CG-1,3,2 plants,,257,,,0.83,
